Time,Object,Mass,X,Y,VX,VY,AX,AY
0.740,1,1000.000000,2.113,-4.281,2.548,1.966,-1.276,2.628
0.740,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.740,3,1000.000000,-1.646,-1.113,3.282,-5.026,14.303,9.057
0.750,1,1000.000000,2.139,-4.261,2.535,1.992,-1.296,2.626
0.750,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.750,3,1000.000000,-1.613,-1.164,3.422,-4.931,13.998,9.468
0.760,1,1000.000000,2.164,-4.241,2.522,2.019,-1.317,2.624
0.760,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.760,3,1000.000000,-1.579,-1.213,3.558,-4.833,13.680,9.867
0.770,1,1000.000000,2.190,-4.221,2.508,2.045,-1.338,2.622
0.770,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.770,3,1000.000000,-1.544,-1.261,3.692,-4.730,13.350,10.254
0.780,1,1000.000000,2.215,-4.200,2.495,2.071,-1.359,2.620
0.780,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.780,3,1000.000000,-1.507,-1.309,3.822,-4.624,13.007,10.629
0.790,1,1000.000000,2.240,-4.180,2.481,2.097,-1.381,2.618
0.790,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.790,3,1000.000000,-1.468,-1.355,3.949,-4.514,12.653,10.990
0.800,1,1000.000000,2.264,-4.159,2.467,2.123,-1.402,2.616
0.800,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.800,3,1000.000000,-1.429,-1.400,4.071,-4.400,12.289,11.338
0.810,1,1000.000000,2.289,-4.137,2.453,2.150,-1.423,2.614
0.810,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.810,3,1000.000000,-1.388,-1.444,4.191,-4.284,11.914,11.672
0.820,1,1000.000000,2.314,-4.116,2.438,2.176,-1.445,2.612
0.820,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.820,3,1000.000000,-1.346,-1.487,4.306,-4.164,11.529,11.992
0.830,1,1000.000000,2.338,-4.094,2.424,2.202,-1.467,2.610
0.830,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.830,3,1000.000000,-1.303,-1.528,4.417,-4.041,11.135,12.297
0.840,1,1000.000000,2.362,-4.072,2.409,2.228,-1.489,2.607
0.840,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.840,3,1000.000000,-1.259,-1.569,4.525,-3.915,10.733,12.588
0.850,1,1000.000000,2.386,-4.050,2.394,2.254,-1.511,2.605
0.850,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.850,3,1000.000000,-1.214,-1.608,4.628,-3.786,10.324,12.864
0.860,1,1000.000000,2.410,-4.027,2.378,2.280,-1.533,2.602
0.860,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
0.860,3,1000.000000,-1.168,-1.646,4.727,-3.655,9.907,13.124
0.870,1,1000.000000,2.434,-4.005,2.363,2.306,-1.556,2.600
0.870,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,-0.000
